| ion |      wave | NIST | Instr | amplitude |       Source |
| Hg | 14097.493 |    1 |   140 |     139.9 | unknown |
| Hg | 14253.089 |    1 |    18 |      17.6 | unknown |
| Hg | 14600.461 |    1 |    34 |      34.3 | unknown |
| Hg | 14638.504 |    1 |    53 |      53.5 | unknown |
| Hg | 14654.351 |    1 |    60 |      60.4 | unknown |
| Hg | 14743.167 |    1 |    18 |      18.0 | unknown |
| Hg | 15050.617 |    1 |   415 |     414.6 | unknown |
| Hg | 15176.837 |    1 |    83 |      82.7 | unknown |
| Hg | 15300.000 |    1 |  1201 |    1200.6 | unknown |
| Hg | 15333.533 |    1 |    96 |      96.0 | unknown |
| Hg | 15406.849 |    1 |    24 |      23.8 | unknown |
| Hg | 15887.504 |    1 |     9 |       8.6 | unknown |
| Hg | 15904.031 |    1 |    25 |      25.4 | unknown |
| Hg | 15993.861 |    1 |   104 |     103.6 | unknown |
| Hg | 16127.061 |    1 |    27 |      26.8 | unknown |
| Hg | 16184.443 |    1 |    29 |      29.1 | unknown |
| Hg | 16441.065 |    1 |    32 |      31.7 | unknown |
| Hg | 16524.381 |    1 |   196 |     196.2 | unknown |
| Hg | 16744.652 |    1 |    70 |      70.4 | unknown |
| Hg | 16886.090 |    1 |    10 |      10.5 | unknown |
| Hg | 16924.780 |    1 |    22 |      21.9 | unknown |
| Hg | 16945.212 |    1 |  1180 |    1180.4 | unknown |
| Hg | 17077.450 |    1 |    48 |      48.0 | unknown |
| Hg | 17114.600 |    1 |    37 |      36.5 | unknown |
| Hg | 17449.668 |    1 |    70 |      69.5 | unknown |
| Hg | 17828.859 |    1 |    19 |      18.6 | unknown |
| Hg | 17919.522 |    1 |   256 |     255.5 | unknown |
| Hg | 17919.618 |    1 |   664 |     663.8 | unknown |
| Hg | 18135.330 |    1 |    13 |      13.4 | unknown |
| Hg | 19705.550 |    1 |    12 |      11.6 | unknown |
| Hg | 19822.918 |    1 |    38 |      37.9 | unknown |
| Hg | 19971.182 |    1 |    39 |      39.1 | unknown |
| Hg | 20322.560 |    1 |    27 |      27.3 | unknown |
| Hg | 20621.856 |    1 |   310 |     309.7 | unknown |
| Hg | 20991.839 |    1 |   324 |     324.2 | unknown |
| Hg | 21338.710 |    1 |    22 |      21.9 | unknown |
| Hg | 21540.086 |    1 |    69 |      68.5 | unknown |
| Hg | 22045.578 |    1 |    14 |      14.4 | unknown |
| Hg | 22083.206 |    1 |    53 |      52.7 | unknown |
| Hg | 23139.519 |    1 |    36 |      36.5 | unknown |
| Hg | 23851.542 |    1 |    30 |      30.5 | unknown |
| Hg | 23973.060 |    1 |    57 |      56.7 | unknown |
