| ion |      wave | NIST | Instr | amplitude |       Source |
| Xe | 14146.252 |    1 |    52 |      51.5 | unknown |
| Xe | 14244.791 |    1 |    26 |      26.1 | unknown |
| Xe | 14368.848 |    1 |     9 |       8.9 | unknown |
| Xe | 14736.765 |    1 |   560 |     559.8 | unknown |
| Xe | 15422.602 |    1 |   429 |     429.1 | unknown |
| Xe | 15983.888 |    1 |    15 |      14.7 | unknown |
| Xe | 16044.231 |    1 |     9 |       9.4 | unknown |
| Xe | 16057.653 |    1 |   136 |     136.1 | unknown |
| Xe | 16732.649 |    1 |   357 |     357.1 | unknown |
| Xe | 17330.512 |    1 |   201 |     200.6 | unknown |
| Xe | 18793.248 |    1 |    71 |      71.3 | unknown |
| Xe | 20192.597 |    1 |    15 |      14.5 | unknown |
| Xe | 20267.819 |    1 |   577 |     576.9 | unknown |
| Xe | 21475.864 |    1 |    30 |      30.5 | unknown |
| Xe | 23199.595 |    1 |    55 |      54.5 | unknown |
